ID_PONTO	NOME_VIA	LONG	LAT
162	Avenida Domingos Ferreira - Herculano Bandeira	-34.90239	-8.13
163	Avenida Domingos Ferreira - Herculano Bandeira	-34.90254	-8.13046
164	Avenida Domingos Ferreira - Herculano Bandeira	-34.90262	-8.13076
165	Avenida Domingos Ferreira - Herculano Bandeira	-34.90272	-8.13104
166	Avenida Domingos Ferreira - Herculano Bandeira	-34.90277	-8.1312
167	Avenida Domingos Ferreira - Herculano Bandeira	-34.90285	-8.13149
168	Avenida Domingos Ferreira - Herculano Bandeira	-34.90287	-8.13156
169	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9139	-8.11981
170	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91383	-8.11947
171	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91379	-8.11926
172	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91376	-8.11911
173	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91373	-8.11895
174	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91371	-8.1186
175	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91368	-8.1184
176	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91363	-8.11815
177	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9135	-8.11742
178	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91327	-8.11623
179	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91325	-8.11614
180	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91313	-8.11553
181	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91305	-8.11504
182	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91273	-8.11346
183	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91254	-8.11252
184	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91246	-8.1122
185	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91243	-8.11202
186	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91233	-8.11144
187	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91216	-8.11059
188	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91213	-8.11042
189	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91209	-8.11022
190	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91206	-8.1101
191	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91191	-8.10937
192	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91178	-8.10891
193	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9117	-8.10855
194	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91162	-8.10815
195	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91158	-8.10794
196	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91153	-8.10766
197	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91144	-8.10723
198	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91127	-8.10643
199	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91121	-8.10611
200	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9111	-8.10552
201	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91099	-8.10494
202	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91075	-8.10369
203	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91065	-8.10321
204	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91058	-8.10285
205	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91055	-8.10266
206	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91029	-8.10137
207	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91028	-8.10131
208	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91022	-8.10096
209	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91015	-8.10063
210	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91006	-8.0996
211	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09933
212	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09906
213	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09905
214	Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09881
