CEP	LOGRADOURO	BAIRRO	LAT	LONG
50020500	Praça das Cinco Pontas	São José	-8.07123340	-34.88067550
50020595	Praça Dom Vital	São José	-8.06825470	-34.87816090
50020906	Praça Dom Vital, s/n	São José	-8.06825470	-34.87816090
50020200	Praça Sérgio Loreto	São José	-8.07256330	-34.88572170
50090240	Rua Anna Bezerra	São José	-8.07482080	-34.89400910
50020390	Rua Antônio Henrique	São José	-8.07003970	-34.87916350
50090180	Rua Araribá	São José	-8.07378860	-34.89160870
50090120	Rua Aripuanã	São José	-19.97483850	-43.96411050
50090060	Rua Azul	São José	-8.07287380	-34.88809240
50020120	Rua Barão da Vitória	São José	-8.06791500	-34.88218930
50090710	Rua Boa Esperança	São José	-8.07353650	-34.88816840
50090270	Rua Bonsucesso	São José	-8.07670810	-34.89171560
50090660	Rua Cabo José Gomes	São José	-8.07834590	-34.90048600
50090160	Rua Caracituba	São José	-8.07334180	-34.89163820
50090030	Rua Cerro Cora	São José	-8.07292340	-34.88386290
50020400	Rua Coração de Maria	São José	-8.07098880	-34.87871100
50020440	Rua Cristóvão Colombo	São José	-8.07899100	-34.90620860
50020055	Rua da Concórdia	São José	-8.06897570	-34.88245240
50020110	Rua da Indústria	São José	-8.06629200	-34.87871850
50020040	Rua da Palma	São José	-8.06766900	-34.88150040
50020245	Rua das Águas Verdes	São José	-8.06795710	-34.87976300
50020290	Rua das Calçadas	São José	-8.06943460	-34.87916300
50020320	Rua de Santa Rita	São José	-8.07041290	-34.87833800
50020255	Rua Direita	São José	-8.06807000	-34.87889860
50020470	Rua do Dique	São José	-8.07110820	-34.88230130
50020420	Rua do Forte	São José	-8.06995850	-34.88049800
50020430	Rua do Jardim	São José	-8.07063510	-34.88020450
50020190	Rua do Muniz	São José	-8.07192690	-34.88453850
50020340	Rua do Nogueira	São José	-8.06985450	-34.87836690
50020180	Rua do Peixoto	São José	-8.07077380	-34.88414390
50020615	Rua do Porão	São José	-8.06832560	-34.87718510
50020170	Rua do Ramos	São José	-8.04605590	-34.89848910
50020410	Rua dos Pescadores	São José	-8.08689650	-34.90115120
50020140	Rua Doutor Bartolomeu Anacleto	São José	-8.06943580	-34.88232910
50090170	Rua Engenheiro Estevam Marinho	São José	-8.07327060	-34.89185980
50090740	Rua Estevão Marinho	São José	-8.07327060	-34.89185980
50020250	Rua Felipe Camarão	São José	-8.06774350	-34.87933610
50020068	Rua Floriano Peixoto	São José	-8.06804470	-34.88344330
50020460	Rua Frei Henrique	São José	-8.07004730	-34.88146140
50090510	Rua General Hélio de Albuquerque Melo	São José	-8.07388550	-34.89398060
50090000	Rua Imperial	São José	-8.07520640	-34.89211100
50090610	Rua Interlândia	São José	-8.07698910	-34.90028950
50090720	Rua Itapira	São José	-8.07769040	-34.89857070
50090490	Rua Itapiúna	São José	-8.07604920	-34.89295020
50090480	Rua Itaruna	São José	-8.13231270	-34.93583380
50090520	Rua João Meira Lins	São José	-8.07395490	-34.89524690
50020160	Rua Lambari	São José	-8.06935980	-34.88354690
50090230	Rua Lourenço da Silva	São José	-8.07452500	-34.89248160
50090540	Rua Lourenço de Sá	São José	-8.07497870	-34.89555330
50090500	Rua Luís Pinheiro	São José	-8.07388990	-34.89368070
50090550	Rua Maceió	São José	-8.07652770	-34.89508320
50020030	Rua Marquês do Herval	São José	-8.06613310	-34.88154230
50090650	Rua Maruim	São José	-8.07583920	-34.90052730
50090640	Rua Nantes	São José	-8.07538860	-34.89965760
50090090	Rua Nilson Sabino Pinho	São José	-8.07382960	-34.89016390
50090580	Rua Oscar Melo	São José	-8.07755960	-34.89928520
50090570	Rua Pacatuba	São José	-8.07653520	-34.89753940
50020380	Rua Padre Floriano	São José	-8.06937320	-34.87964200
50090130	Rua Padre José de Sá Leitão	São José	-8.07487920	-34.89007110
50020350	Rua Padre Muniz	São José	-8.06994970	-34.87766710
50020130	Rua Passos da Pátria	São José	-8.06906990	-34.88188450
50020710	Rua Pintor Hélio Feijó	São José	-8.06006860	-34.93736580
50090020	Rua Piracema	São José	-8.07253710	-34.88272050
50090220	Rua Pitangui	São José	-8.07463700	-34.89213650
50090690	Rua Realeza	São José	-8.07701980	-34.90223610
50090630	Rua Regência	São José	-8.07552910	-34.89927440
50090200	Rua Sá Leitão	São José	-8.07487920	-34.89007110
50020330	Rua Santa Cecília	São José	-8.06942360	-34.87813240
50020150	Rua São João	São José	-8.07029810	-34.88213570
50020310	Rua São José do Ribamar	São José	-8.06966620	-34.87864840
50020210	Rua São Pedro	São José	-8.06712160	-34.87884210
50020715	Rua Tobias Barreto	São José	-8.06726280	-34.88091550
50020480	Rua Vidal de Negreiros	São José	-8.07074150	-34.88144250
50020235	Rua Vinte e Quatro de Maio	São José	-8.06778320	-34.88114970
50020630	Travessa Arsenal de Guerra	São José	-8.06657810	-34.87677660
50020370	Travessa Cirigado	São José	-8.06896630	-34.87933370
50090050	Travessa da Bela	São José	-8.07318220	-34.88756420
50090070	Travessa da Trindade	São José	-8.07318590	-34.88826750
50090190	Travessa do Bandeira	São José	-8.07403520	-34.89194590
50020490	Travessa do Forte	São José	-8.06995850	-34.88049800
50090560	Travessa do Gaspar	São José	-8.07645520	-34.89594050
50090260	Travessa do Gomes	São José	-8.07555780	-34.89236620
50020520	Travessa do Gusmão	São José	-8.07235040	-34.88652590
50020300	Travessa do Macêdo	São José	-8.10823890	-34.90616500
50090110	Travessa do Raposo	São José	-8.07365610	-34.89045780
50090080	Travessa do Tavares	São José	-8.07358460	-34.88869170
50090250	Travessa do Valente	São José	-8.07826180	-34.89770140
50020450	Travessa dos Martírios	São José	-8.06883620	-34.88066670
50090100	Travessa Padre Azevedo	São José	-8.07409530	-34.88983570
50090210	Travessa Sá Leitão	São José	-8.07487920	-34.89007110
50020230	Travessa São Pedro	São José	-8.06695040	-34.87875890
50090150	Vila Zenáide	São José	-8.07333510	-34.89135610
50030150	Avenida Alfredo Lisboa	Recife	-8.06129810	-34.87060450
50030904	Avenida Alfredo Lisboa, 1152/1168	Recife	-8.06025240	-34.87036710
50030330	Avenida Barbosa Lima	Recife	-8.06218110	-34.87232820
50030917	Avenida Barbosa Lima, 149	Recife	-8.06224030	-34.87254230
50030000	Avenida Marquês de Olinda	Recife	-8.06351470	-34.87302710
50030901	Avenida Marquês de Olinda, 126	Recife	-8.06331210	-34.87295660
50030970	Avenida Marquês de Olinda, 262	Recife	-8.06342510	-34.87384030
50030270	Avenida Militar	Recife	-8.05361850	-34.87138880
50030310	Avenida Rio Branco	Recife	-8.06269890	-34.87267650
50030900	Avenida Rio Branco, 240	Recife	-8.06229600	-34.87337000
50030100	Cais da Alfândega	Recife	-8.06511850	-34.87409230
50030230	Cais do Apolo	Recife	-8.05841540	-34.87257190
50030905	Cais do Apolo, 222	Recife	-8.06312240	-34.87390790
50030907	Cais do Apolo, 321	Recife	-8.05998800	-34.87319640
50030902	Cais do Apolo, 739	Recife	-8.05607880	-34.87239960
50030903	Cais do Apolo, 925	Recife	-8.05434030	-34.87246050
50030908	Cais do Apolo, s/n	Recife	-8.05841540	-34.87257190
50030360	Praça Arsenal da Marinha	Recife	-8.06102550	-34.87127970
50030460	Praça Artur Oscar	Recife	-8.04756220	-34.87696430
50030911	Praça Artur Oscar, 35	Recife	-8.04756220	-34.87696430
50030280	Praça da Comunidade Luso Brasileira	Recife	-8.05382530	-34.87080430
50030470	Praça Forte do Brum	Recife	-8.05310080	-34.87110540
50030320	Praça Rio Branco	Recife	-8.06222770	-34.87082290
50030480	Praça Tiradentes	Recife	-8.05865920	-34.87198670
50030090	Rua Aluísio Periquito	Recife	-8.04756220	-34.87696430
50030160	Rua Álvares Cabral	Recife	-8.06318260	-34.87339690
50030180	Rua Barão Rodrigues Mendes	Recife	-8.06115060	-34.87181440
50030250	Rua Bernardo Vieira de Melo	Recife	-8.05688080	-34.87062900
50030390	Rua Bione	Recife	-8.05844330	-34.87163720
50030300	Rua Carlos Salazar	Recife	-8.04939510	-34.87051320
50030030	Rua da Alfândega	Recife	-8.06447550	-34.87391140
50030130	Rua da Assembléia	Recife	-8.06445000	-34.87243960
50030210	Rua da Guia	Recife	-8.06178220	-34.87193240
50030040	Rua da Moeda	Recife	-8.06458050	-34.87273900
50030240	Rua de São Jorge	Recife	-8.05831540	-34.87027430
50030220	Rua do Apolo	Recife	-8.06149690	-34.87232150
50030170	Rua do Bom Jesus	Recife	-8.06145150	-34.87109330
50030260	Rua do Brum	Recife	-8.05719530	-34.87145530
50030400	Rua do Moinho	Recife	-8.05842870	-34.87028250
50030350	Rua do Observatório	Recife	-8.06052580	-34.87185510
50030420	Rua do Ocidente	Recife	-8.05721400	-34.87105960
50030440	Rua do Pilar	Recife	-8.05599390	-34.87022670
50030200	Rua Domingos José Martins	Recife	-8.06187980	-34.87164080
50030140	Rua Dona Maria César	Recife	-8.06360290	-34.87231610
50030060	Rua dos Arrecifes	Recife	-8.06499090	-34.87255290
50030290	Rua Doutor Ascânio Peixoto	Recife	-8.04986150	-34.87044020
50030410	Rua Engenheiro Edgar Werneck	Recife	-8.08598910	-34.93628990
50030430	Rua Fausta Alcoforado Leite	Recife	-8.04756220	-34.87696430
50030190	Rua Itaiópolis	Recife	-8.06234300	-34.87260130
50030110	Rua Madre de Deus	Recife	-8.06434920	-34.87355960
50030906	Rua Madre de Deus, 27	Recife	-8.06584640	-34.87351710
50030120	Rua Mariz e Barros	Recife	-8.06411760	-34.87292860
50030145	Rua Praia do Pina	Recife	-8.06718600	-34.87690850
50030450	Rua Primavera	Recife	-8.05601780	-34.87128820
50030080	Rua Professor Aloísio Magalhães	Recife	-8.06568350	-34.87361650
50030020	Rua Tomazina	Recife	-8.06428680	-34.87289750
50030010	Rua Vigário Tenório	Recife	-8.06392340	-34.87278330
50030370	Rua Vital de Oliveira	Recife	-8.06058080	-34.87060350
50030070	Travessa do Amorim	Recife	-8.06534520	-34.87289210
50030231	Travessa do Apolo	Recife	-8.06193920	-34.87267030
50030380	Travessa Tiradentes	Recife	-8.05924280	-34.87133020
50030050	Travessa Tuyuty	Recife	-8.06500440	-34.87312090
50110111	1ª Travessa Agamenon Magalhães	Santo Amaro	-8.06527420	-34.89691940
50110127	1ª Travessa Berlim	Santo Amaro	-8.04228780	-34.88089630
50110296	1ª Travessa Campo do Onze	Santo Amaro	-8.04117680	-34.87933650
50110391	1ª Travessa Chaval	Santo Amaro	-2.93544810	-41.74606920
50110161	1ª Travessa Chile	Santo Amaro	-8.04399770	-34.87986060
50110841	1ª Travessa da Amizade	Santo Amaro	-8.05096950	-34.90049810
50040065	1ª Travessa do Ferreira	Santo Amaro	-8.05404910	-34.87890200
50110171	1ª Travessa do Oliveira	Santo Amaro	-8.04480970	-34.88040210
50110006	1ª Travessa Doutor Jayme da Fonte	Santo Amaro	-8.04469530	-34.87492120
50110211	1ª Travessa Espinhara	Santo Amaro	-8.08701390	-34.93507560
50110102	1ª Travessa Fausto Rabelo	Santo Amaro	-8.04295290	-34.88105070
50100270	1ª Travessa Frei Cassimiro	Santo Amaro	-8.04850340	-34.87764840
50110232	1ª Travessa Goianira	Santo Amaro	-8.04222400	-34.87951380
50110650	1ª Travessa Ledinha	Santo Amaro	-8.04183800	-34.87913590
50110721	1ª Travessa Principal	Santo Amaro	-8.04492100	-34.88736600
50110251	1ª Travessa Serrano	Santo Amaro	-8.04166430	-34.88045390
50110191	1ª Travessa Severina Santana Pedrosa	Santo Amaro	-8.04405620	-34.87936020
50110091	1ª Travessa Tauá	Santo Amaro	-8.04251660	-34.88038660
50110431	1ª Travessa Taurino Batista	Santo Amaro	-27.28522520	-48.85069980
50110112	2ª Travessa Agamenon Magalhães	Santo Amaro	-8.06527830	-34.89694910
50110152	2ª Travessa Anchieta	Santo Amaro	-8.04145400	-34.88054490
50110123	2ª Travessa Berlim	Santo Amaro	-8.04260250	-34.88097780
50110292	2ª Travessa Campo do Onze	Santo Amaro	-8.04181960	-34.87798380
50110392	2ª Travessa Chaval	Santo Amaro	-2.93544810	-41.74606920
50110842	2ª Travessa da Amizade	Santo Amaro	-8.05096950	-34.90049810
50110222	2ª Travessa da Floresta	Santo Amaro	-8.04362390	-34.87835710
50110691	2ª Travessa da Mangueira	Santo Amaro	-8.07000420	-34.91899070
50110436	2ª Travessa do Chié	Santo Amaro	-8.04399770	-34.87986060
50110651	2ª Travessa do Ledinha	Santo Amaro	-8.04147210	-34.87942920
50110282	2ª Travessa do Oceano	Santo Amaro	-8.04091110	-34.88012860
50110172	2ª Travessa do Oliveira	Santo Amaro	-8.04182780	-34.88075220
50110122	2ª Travessa Doutor Antiogenes Chaves	Santo Amaro	-8.04381230	-34.88073400
50110212	2ª Travessa Espihara	Santo Amaro	-8.08701390	-34.93507560
50110441	2ª Travessa Fatima Teixeira	Santo Amaro	-8.04220620	-34.87714640
50110103	2ª Travessa Fausto Rabelo	Santo Amaro	-8.04284130	-34.88113090
50100265	2ª Travessa Frei Cassimiro	Santo Amaro	-8.04850340	-34.87764840
50110233	2ª Travessa Goianira	Santo Amaro	-8.04229400	-34.87902070
50110352	2ª Travessa Maciel Monteiro	Santo Amaro	-8.04674870	-34.87697330
50110722	2ª Travessa Principal	Santo Amaro	-8.02494890	-34.90850930
50110252	2ª Travessa Serrano	Santo Amaro	-8.04166430	-34.88045390
50110192	2ª Travessa Severina Santana Pedrosa	Santo Amaro	-8.04442690	-34.87916740
50110092	2ª Travessa Tauá	Santo Amaro	-8.04251660	-34.88038660
50110432	2ª Travessa Taurino Batista	Santo Amaro	-27.28522520	-48.85069980
50110294	3ª Travessa Campo do Onze	Santo Amaro	-8.04060860	-34.87892540
50110843	3ª Travessa da Amizade	Santo Amaro	-8.05095710	-34.90048710
50110224	3ª Travessa da Floresta	Santo Amaro	-8.04376490	-34.87830820
50110213	3ª Travessa Espihara	Santo Amaro	-8.08702950	-34.93506490
50110104	3ª Travessa Fausto Rabelo	Santo Amaro	-8.04277080	-34.88093330
50110652	3ª Travessa Ledinha	Santo Amaro	-8.04183360	-34.87980310
50110353	3ª Travessa Maciel Monteiro	Santo Amaro	-8.04673310	-34.87696290
50110433	3ª Travessa Taurino Batista	Santo Amaro	-27.28535000	-48.85073770
50110844	4ª Travessa da Amizade	Santo Amaro	-8.05095240	-34.90048280
50110354	4ª Travessa Maciel Monteiro	Santo Amaro	-8.04673310	-34.87696290
50040000	Avenida Cruz Cabugá	Santo Amaro	-8.04584170	-34.87574680
50040912	Avenida Cruz Cabugá, 1033	Santo Amaro	-8.04608560	-34.87592040
50040905	Avenida Cruz Cabugá, 1387	Santo Amaro	-8.04362890	-34.87442400
50040971	Avenida Cruz Cabugá, 212	Santo Amaro	-8.05205720	-34.87998260
50100200	Avenida da Saudade	Santo Amaro	-8.05158760	-34.88209800
50110005	Avenida Doutor Jayme da Fonte	Santo Amaro	-8.04229840	-34.87706560
50100010	Avenida Governador Agamenon Magalhães	Santo Amaro	-8.04729280	-34.89147930
50110900	Avenida Governador Agamenon Magalhães, s/n	Santo Amaro	-8.04729280	-34.89147930
50100015	Avenida João de Barros	Santo Amaro	-8.04574640	-34.89001750
50040010	Avenida Mário Melo	Santo Amaro	-8.05474820	-34.88024780
50040200	Avenida Norte Miguel Arraes de Alencar	Santo Amaro	-8.04459540	-34.88092430
50040902	Avenida Norte Miguel Arraes de Alencar, 68	Santo Amaro	-8.04948910	-34.87437470
50040450	Avenida Prefeito Artur Lima Cavalcanti	Santo Amaro	-8.04698920	-34.87468150
50110773	Avenida Quinze de Novembro	Santo Amaro	-8.04452290	-34.96057460
50110750	Avenida Rio Grande do Norte	Santo Amaro	-8.00638290	-34.87031300
50110740	Avenida Treze de Dezembro	Santo Amaro	-8.10997850	-34.95358500
50050540	Avenida Visconde de Suassuna	Santo Amaro	-8.05250500	-34.88637360
50110597	Beco Bola de Ouro	Santo Amaro	-3.79592950	-38.59888000
50050430	Beco da Pitombeira	Santo Amaro	-8.01723650	-34.90129530
50110510	Beco da Tramways	Santo Amaro	-8.04277090	-34.87460870
50110140	Beco do Açúcar	Santo Amaro	-8.04270560	-34.87967120
50110610	Beco do Ganso	Santo Amaro	-8.04486830	-34.87843240
50110448	Beco do Néco	Santo Amaro	-8.00947760	-34.90064260
50110180	Beco do Supapo	Santo Amaro	-8.04458080	-34.87934450
50110540	Beco dos Casados	Santo Amaro	-8.03997260	-34.87323930
50110530	Largo dos Casados	Santo Amaro	-8.03973680	-34.87270560
50040350	Praça Beatriz Pereira Carneiro	Santo Amaro	-8.04031610	-34.87061780
50100210	Praça do Campo Santo	Santo Amaro	-8.04992600	-34.88250920
50110010	Praça Engenho Massangana	Santo Amaro	-8.12862280	-34.90065760
50040210	Praça General Abreu e Lima	Santo Amaro	-8.04749690	-34.87609730
50040390	Praça General Carlos Pinto	Santo Amaro	-8.03995900	-34.87204480
50040230	Praça Onze de Junho	Santo Amaro	-8.04506890	-34.87481500
50110110	Praça Professor Agamenon Magalhães	Santo Amaro	-8.04385800	-34.88211610
50100460	Rua Abdon Batista	Santo Amaro	-8.04553110	-34.88604590
50100400	Rua Abelardo Luz	Santo Amaro	-8.04616790	-34.88525760
50100300	Rua Adolfo Celso	Santo Amaro	-8.04597300	-34.87969120
50040120	Rua Afonso Costa	Santo Amaro	-8.05217500	-34.87952410
50050130	Rua Afonso Pena	Santo Amaro	-8.05313170	-34.88731990
50110758	Rua Alagoas	Santo Amaro	-8.03939520	-34.87378440
50040220	Rua Alexandre Moura	Santo Amaro	-8.04679880	-34.87558680
50100470	Rua Alfenas	Santo Amaro	-8.04474600	-34.88680110
50110450	Rua Alice Milet Morais	Santo Amaro	-8.04301820	-34.88283900
50050480	Rua Almeida Cunha	Santo Amaro	-8.05414520	-34.88677980
50100370	Rua Almirante Ary Parreiras	Santo Amaro	-8.04664050	-34.88457740
50100390	Rua Almirante Cochrane	Santo Amaro	-8.04632410	-34.88503060
50100360	Rua Almirante Custódio de Melo	Santo Amaro	-8.04683310	-34.88432340
50100380	Rua Almirante Eduardo Wandenkolk	Santo Amaro	-8.04648640	-34.88480240
50100090	Rua Aluísio de Azevedo	Santo Amaro	-8.04643680	-34.88914260
50100040	Rua Álvares de Azevedo	Santo Amaro	-8.04961710	-34.88886720
50110825	Rua Ana de Castro	Santo Amaro	-23.62415430	-46.60697290
50110150	Rua Anchieta	Santo Amaro	-8.04174210	-34.88044210
50110066	Rua Antônio Alcântara Machado	Santo Amaro	-8.04204570	-34.87777820
50110025	Rua Apiau	Santo Amaro	2.79799990	-60.68897230
50110244	Rua Aracaju	Santo Amaro	-8.03941060	-34.87517720
50110655	Rua Araçás	Santo Amaro	-8.08637060	-34.88649770
50110305	Rua Araguaçu	Santo Amaro	-8.04217820	-34.87833420
50110265	Rua Araguassu	Santo Amaro	-8.04217820	-34.87833420
50040170	Rua Araripina	Santo Amaro	-8.05152970	-34.87750320
50110675	Rua Arca da Aliança	Santo Amaro	-8.04020490	-34.87642860
