NOME_VIA	LONG	LAT
Avenida Domingos Ferreira - Herculano Bandeira	-34.88452	-8.08995
Avenida Domingos Ferreira - Herculano Bandeira	-34.88452	-8.09002
Avenida Domingos Ferreira - Herculano Bandeira	-34.88453	-8.0901
Avenida Domingos Ferreira - Herculano Bandeira	-34.88454	-8.09014
Avenida Domingos Ferreira - Herculano Bandeira	-34.88455	-8.09018
Avenida Domingos Ferreira - Herculano Bandeira	-34.88456	-8.09023
Avenida Domingos Ferreira - Herculano Bandeira	-34.88457	-8.09029
Avenida Domingos Ferreira - Herculano Bandeira	-34.88467	-8.09061
Avenida Domingos Ferreira - Herculano Bandeira	-34.88476	-8.09094
Avenida Domingos Ferreira - Herculano Bandeira	-34.88478	-8.09101
Avenida Domingos Ferreira - Herculano Bandeira	-34.8848	-8.09109
Avenida Domingos Ferreira - Herculano Bandeira	-34.88498	-8.09179
Avenida Domingos Ferreira - Herculano Bandeira	-34.8852	-8.09255
Avenida Domingos Ferreira - Herculano Bandeira	-34.88532	-8.09296
Avenida Domingos Ferreira - Herculano Bandeira	-34.88535	-8.09299
Avenida Domingos Ferreira - Herculano Bandeira	-34.88537	-8.09301
Avenida Domingos Ferreira - Herculano Bandeira	-34.88539	-8.09304
Avenida Domingos Ferreira - Herculano Bandeira	-34.8854	-8.09308
Avenida Domingos Ferreira - Herculano Bandeira	-34.88542	-8.09312
Avenida Domingos Ferreira - Herculano Bandeira	-34.8855	-8.09339
Avenida Domingos Ferreira - Herculano Bandeira	-34.88551	-8.09341
Avenida Domingos Ferreira - Herculano Bandeira	-34.8857	-8.09405
Avenida Domingos Ferreira - Herculano Bandeira	-34.88576	-8.09431
Avenida Domingos Ferreira - Herculano Bandeira	-34.88583	-8.09465
Avenida Domingos Ferreira - Herculano Bandeira	-34.8859	-8.09499
Avenida Domingos Ferreira - Herculano Bandeira	-34.88592	-8.09513
Avenida Domingos Ferreira - Herculano Bandeira	-34886	-8.09559
Avenida Domingos Ferreira - Herculano Bandeira	-34.88601	-8.0957
Avenida Domingos Ferreira - Herculano Bandeira	-34.88603	-8.09582
Avenida Domingos Ferreira - Herculano Bandeira	-34.88606	-8.09597
Avenida Domingos Ferreira - Herculano Bandeira	-34.88613	-8.09631
Avenida Domingos Ferreira - Herculano Bandeira	-34.88624	-8.09682
Avenida Domingos Ferreira - Herculano Bandeira	-34.88634	-8.09735
Avenida Domingos Ferreira - Herculano Bandeira	-34.88644	-8.09791
Avenida Domingos Ferreira - Herculano Bandeira	-34.88653	-8.09843
Avenida Domingos Ferreira - Herculano Bandeira	-34.88659	-8.09864
Avenida Domingos Ferreira - Herculano Bandeira	-34.88664	-8.09874
Avenida Domingos Ferreira - Herculano Bandeira	-34.88671	-8.09889
Avenida Domingos Ferreira - Herculano Bandeira	-34.88686	-8.09921
Avenida Domingos Ferreira - Herculano Bandeira	-34.88701	-8.09957
Avenida Domingos Ferreira - Herculano Bandeira	-34.88717	-8.09993
Avenida Domingos Ferreira - Herculano Bandeira	-34.88753	-8.10071
Avenida Domingos Ferreira - Herculano Bandeira	-34.88809	-8.10191
Avenida Domingos Ferreira - Herculano Bandeira	-34.88815	-8.10205
Avenida Domingos Ferreira - Herculano Bandeira	-34.88829	-8.10236
Avenida Domingos Ferreira - Herculano Bandeira	-34.88855	-8.10295
Avenida Domingos Ferreira - Herculano Bandeira	-34.88881	-8.1035
Avenida Domingos Ferreira - Herculano Bandeira	-34.88902	-8.10398
Avenida Domingos Ferreira - Herculano Bandeira	-34.88935	-8.1047
Avenida Domingos Ferreira - Herculano Bandeira	-34.8897	-8.10541
Avenida Domingos Ferreira - Herculano Bandeira	-34.88984	-8.10573
Avenida Domingos Ferreira - Herculano Bandeira	-34.89002	-8.10612
Avenida Domingos Ferreira - Herculano Bandeira	-34.89005	-8.10619
Avenida Domingos Ferreira - Herculano Bandeira	-34.89073	-8.10765
Avenida Domingos Ferreira - Herculano Bandeira	-34.89088	-8.10796
Avenida Domingos Ferreira - Herculano Bandeira	-34.89104	-8.10827
Avenida Domingos Ferreira - Herculano Bandeira	-34.89121	-8.10856
Avenida Domingos Ferreira - Herculano Bandeira	-34.89131	-8.10873
Avenida Domingos Ferreira - Herculano Bandeira	-34.8916	-8.1092
Avenida Domingos Ferreira - Herculano Bandeira	-34.89181	-8.10954
Avenida Domingos Ferreira - Herculano Bandeira	-34.89191	-8.10972
Avenida Domingos Ferreira - Herculano Bandeira	-34.89202	-8.10989
Avenida Domingos Ferreira - Herculano Bandeira	-34.89226	-8.11026
